loan_id,default_date,default_reason,unpaid_amount
1,2023-03-14,Fraud,34183.15
10,2023-06-25,Job Loss,18358.45
11,2023-04-15,Missed Payments,33952.49
12,2023-04-15,Fraud,63355.69
13,2023-08-19,Missed Payments,12382.29
16,2023-10-24,Fraud,35903.89
17,2023-11-07,Missed Payments,5914.07
18,2023-09-20,Fraud,7984.82
20,2023-09-18,Fraud,42469.63
21,2023-05-17,Fraud,9534.24
22,2023-08-24,Job Loss,42312.48
23,2023-03-22,Job Loss,34554.43
25,2023-05-15,Missed Payments,69082.29
26,2023-10-04,Job Loss,55287.48
28,2023-09-02,Missed Payments,40400.29
30,2023-01-03,Job Loss,53950.47
33,2023-02-13,Fraud,30743.71
35,2023-04-22,Bankruptcy,68231.45
38,2023-09-04,Bankruptcy,64763.16
39,2023-10-04,Job Loss,41864.0
40,2023-12-31,Bankruptcy,17085.2
43,2023-01-21,Job Loss,44815.58
45,2023-03-08,Missed Payments,46883.63
46,2023-09-10,Bankruptcy,22684.6
47,2023-05-05,Missed Payments,51585.46
49,2023-10-15,Bankruptcy,45597.25
51,2023-11-05,Missed Payments,62361.23
60,2023-05-30,Missed Payments,18204.09
61,2023-03-19,Missed Payments,49278.48
62,2023-04-01,Job Loss,6716.48
63,2023-03-13,Missed Payments,44780.21
66,2023-02-02,Missed Payments,5717.43
72,2023-03-29,Job Loss,38884.2
73,2023-05-03,Fraud,31429.07
75,2023-12-31,Missed Payments,63940.34
81,2023-05-05,Missed Payments,20160.66
82,2023-01-03,Fraud,21621.7
84,2023-12-12,Fraud,21193.1
90,2023-05-23,Job Loss,11105.35
92,2023-11-22,Missed Payments,21335.17
94,2023-10-21,Bankruptcy,21524.87
96,2023-10-18,Bankruptcy,63480.94
100,2023-06-29,Bankruptcy,8760.23
105,2023-05-20,Bankruptcy,11109.9
108,2023-08-29,Missed Payments,63556.07
112,2023-10-30,Job Loss,63064.99
113,2023-10-06,Missed Payments,38905.55
115,2023-08-27,Job Loss,22113.32
116,2023-07-23,Missed Payments,60138.48
118,2023-04-08,Job Loss,51741.24
122,2023-01-15,Missed Payments,65343.51
123,2023-07-26,Job Loss,53218.72
126,2023-08-18,Bankruptcy,30032.45
127,2023-06-09,Fraud,57358.04
128,2023-10-09,Bankruptcy,49657.37
129,2023-11-04,Missed Payments,59338.24
130,2023-03-05,Missed Payments,49044.45
133,2023-07-18,Bankruptcy,64548.88
134,2023-10-24,Missed Payments,21305.64
135,2023-08-13,Job Loss,57225.14
136,2023-09-25,Job Loss,36401.5
137,2023-06-13,Fraud,32227.27
138,2023-10-01,Fraud,64001.01
139,2023-06-25,Job Loss,33360.77
144,2023-12-27,Fraud,17805.52
146,2023-07-30,Fraud,56243.74
148,2023-03-02,Fraud,69667.35
149,2023-08-27,Missed Payments,44736.49
150,2023-03-15,Bankruptcy,66679.28
155,2023-01-17,Bankruptcy,60027.54
157,2023-08-31,Job Loss,50376.02
158,2023-09-05,Bankruptcy,50265.77
159,2023-08-21,Fraud,68636.85
160,2023-03-23,Missed Payments,39578.27
161,2023-01-17,Job Loss,5363.65
164,2023-12-06,Fraud,66475.48
165,2023-05-02,Fraud,31235.52
166,2023-05-19,Missed Payments,27141.73
167,2023-01-17,Bankruptcy,56095.44
169,2023-11-13,Job Loss,55446.77
170,2024-01-01,Job Loss,19510.75
171,2023-10-10,Bankruptcy,15942.52
174,2023-08-07,Bankruptcy,68246.32
178,2023-10-17,Bankruptcy,52686.35
180,2023-05-07,Bankruptcy,17604.36
182,2023-12-31,Missed Payments,44307.03
187,2023-05-28,Job Loss,67545.37
189,2023-06-20,Bankruptcy,29705.43
191,2023-04-03,Fraud,39146.82
193,2023-05-22,Job Loss,23890.37
197,2023-12-07,Fraud,2047.11
198,2023-03-30,Job Loss,68201.14
201,2023-09-17,Fraud,37567.56
203,2023-09-22,Missed Payments,68240.88
204,2023-07-15,Job Loss,68032.71
206,2023-08-05,Bankruptcy,46735.2
207,2023-02-06,Missed Payments,49846.1
215,2023-08-16,Missed Payments,5457.47
223,2023-01-28,Missed Payments,62683.86
226,2023-02-13,Missed Payments,22215.19
227,2023-08-12,Job Loss,19122.02
234,2023-12-19,Job Loss,16617.54
237,2023-01-16,Job Loss,22408.98
239,2023-06-25,Missed Payments,57084.3
240,2023-08-02,Job Loss,25982.55
241,2023-10-27,Job Loss,45956.95
244,2023-08-19,Bankruptcy,11831.65
245,2023-09-23,Job Loss,2828.09
250,2023-12-06,Fraud,54449.34
252,2023-01-01,Bankruptcy,25267.72
253,2023-09-27,Bankruptcy,29722.85
254,2023-06-05,Job Loss,54446.48
258,2023-11-12,Missed Payments,21041.68
261,2023-05-22,Job Loss,47345.62
263,2023-09-20,Job Loss,30459.56
264,2023-11-27,Job Loss,26533.46
269,2023-09-07,Fraud,40019.05
273,2023-12-25,Missed Payments,16777.48
275,2023-12-26,Bankruptcy,24373.43
279,2023-09-06,Bankruptcy,12923.6
280,2023-11-14,Missed Payments,49426.96
281,2023-09-13,Job Loss,39147.95
283,2023-09-29,Fraud,28151.49
287,2023-12-20,Missed Payments,24013.24
289,2023-12-30,Job Loss,44220.32
290,2023-11-20,Fraud,8135.64
291,2023-06-24,Bankruptcy,49694.7
294,2023-12-20,Bankruptcy,62216.76
295,2023-07-21,Job Loss,5070.08
296,2023-02-25,Bankruptcy,10183.5
298,2023-11-14,Bankruptcy,56202.3
306,2023-07-12,Missed Payments,33548.63
310,2023-11-21,Bankruptcy,20402.41
315,2023-05-23,Job Loss,47215.54
316,2023-05-29,Fraud,16877.73
318,2023-06-09,Missed Payments,45976.74
319,2023-05-25,Fraud,42968.58
320,2023-06-17,Missed Payments,39451.37
321,2023-12-09,Job Loss,50041.38
323,2023-04-07,Fraud,17082.59
325,2023-03-27,Fraud,12366.72
327,2023-09-07,Missed Payments,39105.52
331,2023-10-29,Bankruptcy,63246.26
333,2023-12-22,Fraud,5765.52
337,2023-02-16,Job Loss,43800.59
338,2023-10-24,Job Loss,51000.19
341,2023-01-03,Job Loss,50982.87
342,2023-05-28,Bankruptcy,50625.46
343,2023-10-05,Bankruptcy,65173.82
346,2023-04-14,Bankruptcy,10365.59
347,2023-11-30,Bankruptcy,61468.35
350,2023-07-04,Fraud,40432.18
351,2023-02-01,Bankruptcy,43691.18
353,2023-07-01,Bankruptcy,52145.18
358,2023-09-29,Bankruptcy,31409.56
361,2023-10-19,Missed Payments,68018.6
362,2023-04-15,Fraud,3385.82
363,2023-05-08,Bankruptcy,20597.87
365,2023-01-31,Missed Payments,13106.74
366,2023-05-20,Bankruptcy,21845.72
367,2023-11-06,Bankruptcy,58562.38
372,2023-10-09,Missed Payments,24991.56
375,2023-08-09,Missed Payments,62326.71
376,2023-02-25,Bankruptcy,28579.16
377,2023-10-01,Missed Payments,42625.17
384,2023-04-11,Job Loss,26226.47
385,2023-03-04,Missed Payments,39852.06
386,2023-12-03,Job Loss,42135.07
391,2023-11-17,Job Loss,15251.17
392,2023-09-18,Fraud,36883.65
397,2023-05-24,Missed Payments,62674.68
399,2023-08-05,Missed Payments,66039.15
402,2023-08-30,Job Loss,61448.43
405,2023-01-11,Bankruptcy,54043.24
407,2023-03-18,Fraud,46679.37
411,2023-06-01,Job Loss,28286.56
413,2023-11-10,Missed Payments,65115.25
417,2023-10-15,Bankruptcy,10931.15
419,2023-05-30,Job Loss,30417.36
420,2023-03-12,Fraud,30041.09
425,2023-07-19,Job Loss,11376.93
